tilt,cor,gradient,contrast,focus,total_variation,kurtosis,projection_consistency
34.5,1.0,0.00015716468832189484,0.0012772207724628972,6.119636972406235e-07,-7.140911953789847,-0.5232534495378431,0.0033069518
34.5,1.5,0.0001455588561449466,0.001218971385720319,3.5245475414415394e-07,-6.482122693743024,-0.5127576642216182,-0.0016321436
35.0,-2.0,0.0001528586783803933,0.0011817908018461562,4.966680831687751e-07,-7.10905647277832,-0.6000870218565655,-0.068164065
34.5,2.0,0.00013757492394818525,0.0012098636957983088,4.5518108951877624e-07,-6.701324939727783,-0.4810086412548653,-0.008186355
35.0,-1.5,0.00014948576166976376,0.0011504863928504558,4.7442463925660506e-07,-6.983683926718576,-0.6622415237088273,-0.059372302
35.0,-1.0,0.00014810688766634224,0.0011339037194349137,4.7256156981185473e-07,-7.019098247800555,-0.7132176582303733,-0.049088266
35.0,-0.5,0.00014071129979648895,0.0011193758877925575,4.7372585498806075e-07,-6.867685999189105,-0.7534630410546628,-0.037920944
35.0,0.0,0.00013519012385846248,0.0011254583942770426,4.32773001689059e-07,-6.605199950081961,-0.7595768763218993,-0.025036685
35.0,0.5,0.00014690181394273947,0.0011865814322040283,3.7013625688229824e-07,-6.557714121682303,-0.7187551529146371,-0.008751969
35.0,1.0,0.00015746079485065171,0.0012800335672883585,6.141211749926307e-07,-7.145107337406704,-0.5688842895685652,0.0042623915
35.0,1.5,0.00014540454555701996,0.0012170972789837312,3.5200850995969244e-07,-6.4720586368015836,-0.6010079349451598,-0.0010171939
35.0,2.0,0.00013730390803954964,0.0012090227930041562,4.5324115051568826e-07,-6.674062592642648,-0.5099347695882769,-0.007853566
35.5,-1.5,0.00014919305145407895,0.0011502733341850608,4.7290997733690734e-07,-6.971893344606672,-0.663797980350738,-0.05920823
35.5,-2.0,0.00015262841459064345,0.0011765715445757714,4.972703188903844e-07,-7.133511986051287,-0.6002981275881861,-0.06795305
35.5,-1.0,0.00014815263005272885,0.0011338296754651572,4.7229046730633074e-07,-7.015139034816197,-0.7008869079931628,-0.048884746
35.5,-0.5,0.0001411797046395285,0.0011206316610332578,4.7351837955440193e-07,-6.883440324238369,-0.7456677231441288,-0.037602477
35.5,0.0,0.0001357364708383102,0.0011260852511207173,4.304989614313724e-07,-6.596924713679722,-0.7658426683640888,-0.024692317
35.5,0.5,0.00014730248741605983,0.001185262050795635,3.726566504269613e-07,-6.5640852110726495,-0.7421480223377787,-0.009312122
35.5,1.0,0.00015739231093903072,0.0012726324752605123,6.06037270399286e-07,-7.1301208564213345,-0.6202239365303807,0.00268345
35.5,1.5,0.0001453378250256979,0.0012142743260899025,3.5803622872825666e-07,-6.476372514452253,-0.6368202027841201,-0.0010367732
35.5,2.0,0.00013732850441426438,0.0012048599656970642,4.5368028115230376e-07,-6.671018702643258,-0.5127339260542739,-0.007099004
36.0,-2.0,0.0001520300637431709,0.001171585014089942,4.921688737827676e-07,-7.132316384996686,-0.6051303295180224,-0.067449026
36.0,-1.5,0.00014855081930623522,0.0011470905291415484,4.6773020199810033e-07,-6.957514660699027,-0.6748222582832375,-0.058767937
36.0,-1.0,0.000147866849147249,0.0011303648358443753,4.6819120415518357e-07,-7.007301466805594,-0.7221219310501358,-0.048384912
36.0,-0.5,0.00014141488177951293,0.0011236672936606087,4.7249525891857047e-07,-6.901558807918003,-0.752796536922272,-0.037087075
36.0,0.0,0.0001363238963157138,0.0011258671355400503,4.289203131081974e-07,-6.608163663319179,-0.7464450119550613,-0.024383813
36.0,0.5,0.0001472997121579413,0.0011842023725954017,3.8220795366734297e-07,-6.597526516233172,-0.7218007738267952,-0.0105134575
36.0,1.0,0.00015675061565291668,0.0012682626188533115,5.942339618465147e-07,-7.1096155643463135,-0.6009391428793037,-7.6337994e-05
36.0,1.5,0.00014546000862277912,0.001216121331006954,3.687507036228713e-07,-6.5066744940621515,-0.5985791368696873,-0.0019067085
36.0,2.0,0.00013791778578057086,0.0012082954168519274,4.554135892525275e-07,-6.708150897707258,-0.45191249348563906,-0.0064034737
36.5,-2.0,0.00015031134691006237,0.001162536373927391,4.797145872917749e-07,-7.079795326505389,-0.5911228814330372,-0.06674709
