tilt,cor,gradient,contrast,focus,total_variation,kurtosis,projection_consistency
34.0,-2.0,0.0002349623734647009,0.002659896725952941,6.926879397691923e-07,-10.198086977005005,1.8008845889327094,-0.06066396
34.0,-1.5,0.00022903604778028757,0.002721336825332921,6.589589410006218e-07,-10.07167158808027,2.141483161300289,-0.055505726
34.0,-1.0,0.0002315610451790105,0.002912025356272352,6.731417272476392e-07,-10.011906657900129,2.865624153270847,-0.050339516
34.0,-0.5,0.00024355551951365278,0.0032899290471894876,6.13732052353758e-07,-10.055691514696393,4.461064470376064,-0.04559494
34.0,0.0,0.00024917168775573373,0.003505377618026354,7.811507600763434e-07,-10.357362747192383,6.6345069933188165,-0.04142968
34.0,1.5,0.00022567163562468653,0.0028317107611655957,5.376566077432341e-07,-9.575396742139544,2.0777173396596416,-0.044232897
34.0,1.0,0.00024167779442255517,0.0030450821430609465,8.54330210131593e-07,-10.2944267477308,2.7237167220931964,-0.036526237
34.0,0.5,0.0002499574101031093,0.0033365927291015398,4.995440454942062e-07,-9.677864721843175,4.278542886955273,-0.037861925
34.0,2.0,0.00021596313724460612,0.002688854798034299,6.48747106067406e-07,-9.725300788879395,1.6877922403644203,-0.053788543
34.5,-2.0,0.00023651099763810635,0.002662977545353767,7.062369036248128e-07,-10.261069978986468,1.8033307714273694,-0.060208727
34.5,-1.5,0.00023017494095256552,0.00272336216317074,6.668183597672137e-07,-10.098996877670288,2.1322798274884507,-0.055037223
34.5,-0.5,0.00024367139641461627,0.0032930591983625036,6.177883286844528e-07,-10.063491582870483,4.483511441695611,-0.045202047
34.5,-1.0,0.00023268025480709703,0.002916026571453715,6.84523507337482e-07,-10.072118350437709,2.8637486239839776,-0.04987632
34.5,0.0,0.000247991134529002,0.003500031252468555,7.882540679864698e-07,-10.354457650865827,6.685123266904939,-0.04097156
34.5,0.5,0.00024941253650467843,0.003336628517094401,4.898846950953027e-07,-9.640177726745605,4.2897437879119,-0.0361411
34.5,1.0,0.00024201683014065826,0.003048114671369799,8.766224734050152e-07,-10.330933604921613,2.735643055487013,-0.033207424
34.5,1.5,0.0002250635453882361,0.002830974494146566,5.281412102574125e-07,-9.535499027797155,2.080400743673469,-0.04242828
34.5,2.0,0.00021507711374267404,0.0026936428195767806,6.549030737395307e-07,-9.718016045434135,1.716457885244768,-0.053146046
35.0,-2.0,0.00023672625788354447,0.0026566443168329515,7.075871195638683e-07,-10.26103663444519,1.810662502735804,-0.059540596
35.0,-1.5,0.00023072187676526873,0.0027312497592564405,6.723482519938833e-07,-10.10839659827096,2.154769902219792,-0.054399725
35.0,-0.5,0.0002434231386619753,0.0032853733767946587,6.155229580632035e-07,-10.046654973711286,4.461762386207767,-0.04449018
35.0,-1.0,0.00023288814346804948,0.0029165701937121677,6.882931517436321e-07,-10.093719346182686,2.8589662310581367,-0.049196403
35.0,0.0,0.0002472222102889126,0.0034939633469808287,7.867180065496931e-07,-10.333820036479406,6.669483903251134,-0.040291853
35.0,0.5,0.0002492256826371886,0.0033340778871726287,4.849227528731197e-07,-9.617246150970459,4.284649572943913,-0.035233904
35.0,1.0,0.00024225236432227706,0.003044260773624826,8.808508218700288e-07,-10.346316167286464,2.7365686672642164,-0.031687576
35.0,1.5,0.0002248124624851958,0.0028247956708634912,5.254964504177093e-07,-9.519280876432147,2.0686711468086356,-0.041250613
35.0,2.0,0.00021487901332355768,0.002697307762053761,6.553997593528038e-07,-9.702513149806432,1.7297831586811374,-0.052288115
35.5,-2.0,0.00023649664841026867,0.002653150563637609,7.020052399704062e-07,-10.272678920200892,1.805038594385948,-0.05870803
35.5,-1.5,0.00023081729679168866,0.0027362042952777943,6.742948122402075e-07,-10.119520664215088,2.1913784078092897,-0.053561855
35.5,-1.0,0.00023272847777531882,0.0029136959246326504,6.83508842160206e-07,-10.084577287946429,2.85941965921207,-0.04831191
35.5,-0.5,0.00024372601598900343,0.003283425930712839,6.15742905551997e-07,-10.058834518705096,4.452217898658954,-0.043460265
35.5,0.0,0.0002481147488911769,0.0034911356671467994,7.863274557199215e-07,-10.33203683580671,6.668064468054443,-0.039224654
35.5,0.5,0.00024998570110515824,0.0033300105734088,4.93075676542633e-07,-9.653210844312396,4.291838986910642,-0.034978937
35.5,1.0,0.00024247285598123978,0.0030434568895829476,8.680325030192242e-07,-10.331939765385219,2.7372626906139037,-0.03248957
35.5,1.5,0.00022509241638804918,0.002823085181548127,5.351927541141777e-07,-9.5382285458701,2.071156158710676,-0.040706143
35.5,2.0,0.00021510894293896854,0.002692526573363077,6.509822542609202e-07,-9.691609859466553,1.7150353774092604,-0.051046122
36.0,-2.0,0.000235167116833119,0.0026549057268649844,6.870218243193449e-07,-10.231757606778826,1.797565538616124,-0.057638656
36.0,-1.5,0.00022978135945907394,0.0027332913008597513,6.661209701925535e-07,-10.098640101296562,2.2075968448410404,-0.052538496
36.0,-1.0,0.00023203912340769811,0.0029120170411208943,6.769637670751243e-07,-10.070628983633858,2.8762218730316045,-0.04725729
36.0,-0.5,0.00024381891437639882,0.0032837424883265555,6.137349919705619e-07,-10.07604626246861,4.458898062419626,-0.042374644
36.0,0.0,0.0002493879874236882,0.003494581028031203,7.858507079358137e-07,-10.359100443976265,6.690147231995264,-0.038351163
36.0,0.5,0.0002504950306112213,0.00333030826470349,5.072837114182351e-07,-9.711911848613195,4.316079718422638,-0.035399668
36.0,1.5,0.00022527368439893638,0.002825128941736434,5.521601898245925e-07,-9.58131844656808,2.078934564794858,-0.040926166
36.0,1.0,0.00024182340920171036,0.0030393375862019776,8.425184948431966e-07,-10.276904617037092,2.7482796867560753,-0.034165114
36.0,2.0,0.0002155370873099725,0.002682886362921896,6.422109817906727e-07,-9.687990290778023,1.6828045363547528,-0.049930464
36.5,-2.0,0.0002323208952605325,0.0026517379962284135,6.637783696662934e-07,-10.13358041218349,1.8097849037963714,-0.056384556
36.5,-1.0,0.0002301341197120824,0.0029062856726107256,6.591909068122601e-07,-9.997023037501744,2.8805318019298363,-0.04612547
36.5,-1.5,0.00022710804582207596,0.002732828485542476,6.463843098864735e-07,-10.012190818786621,2.2044160698550366,-0.051348653
